貨物查詢,2
物查詢服,1
查詢服務,1
預約寄件,110
約寄件服,4
寄件服務,14
可不可以,72
不可以請,5
可以請你,137
以請你們,128
請你們客,4
你們客服,52
們客服快,1
客服快點,1
服快點接,1
快點接電,1
打你們的,2
你們的客,16
們的客服,13
的客服電,11
客服電話,39
服電話都,6
電話都要,4
話都要等,3
都要等很,3
要等很久,3
打你們客,3
們客服都,7
客服都要,3
服都要等,3
等很久很,1
很久很浪,1
久很浪費,1
打客服電,2
都要等那,1
要等那麼,4
等那麼久,4
那麼久嗎,1
你們有別,1
們有別隻,1
有別隻客,1
別隻客服,1
隻客服電,2
服電話嗎,3
你們的電,12
們的電話,4
的電話很,3
電話很難,7
話很難打,7
很難打進,1
難打進去,1
們客服不,1
客服不是,1
服不是免,1
不是免付,1
是免付費,1
免付費電,6
付費電話,6
費電話每,1
電話每次,3
們客服有,1
客服有幾,1
服有幾個,1
有幾個在,1
幾個在接,1
個在接電,1
在接電話,1
接電話每,1
們客服是,2
客服是不,2
服是不是,2
是不是拒,1
不是拒接,1
是拒接我,1
拒接我的,1
接我的電,1
我的電話,4
客服是有,1
服是有多,1
是有多少,1
有多少人,1
多少人為,1
少人為什,1
人為什麼,3
為什麼老,1
們客服為,1
客服為何,1
服為何總,1
為何總是,1
何總是忙,1
總是忙線,1
是忙線中,1
客服都不,7
服都不接,3
都不接電,4
不接電話,4
客服都沒,5
服都沒人,1
都沒人接,3
們客服超,1
客服超難,1
服超難打,1
超難打的,1
每次打你,2
次打你們,2
客服一直,8
服一直忙,1
一直忙線,2
直忙線中,2
服一直都,1
一直都打,1
直都打不,1
都打不通,4
客服人員,19
服人員都,2
人員都在,1
員都在忙,1
都在忙什,1
在忙什麼,1
忙什麼還,1
什麼還是,4
麼還是你,1
還是你們,3
客服人數,1
服人數是,1
人數是不,1
數是不是,1
是不是不,23
不是不夠,1
是不夠每,1
不夠每次,1
夠每次都,1
每次都要,5
客服可以,15
服可以趕,1
可以趕快,1
以趕快接,1
趕快接電,1
快接電話,1
接電話嗎,1
客服打很,1
服打很久,1
打很久都,1
很久都打,1
久都打不,1
客服的電,2
服的電話,2
很難打通,1
難打通耶,1
客服專線,11
服專線永,1
專線永遠,1
線永遠都,1
永遠都打,1
遠都打不,1
服專線老,1
專線老是,2
線老是打,2
老是打不,2
是打不通,2
服專線每,1
專線每次,1
線每次都,1
次都要等,1
都要等個,1
要等個半,1
等個半小,1
個半小時,1
服專線為,1
專線為什,1
線為什麼,1
為什麼要,12
什麼要等,3
麼要等這,1
要等這麼,1
等這麼久,2
服專線要,2
專線要等,1
線要等超,1
要等超久,1
服專線等,1
專線等待,1
線等待過,1
等待過久,1
服電話打,1
電話打不,3
話打不進,2
打不進還,1
不進還有,1
進還有誰,1
還有誰能,1
有誰能處,1
誰能處理,1
服電話很,2
很難打我,1
難打我等,1
打我等很,1
我等很久,2
等很久電,1
很久電話,1
服電話要,4
電話要等,2
話要等好,1
要等好久,2
服電話從,1
電話從早,1
話從早上,1
從早上忙,1
早上忙線,1
上忙線到,1
忙線到現,1
線到現在,1
電話都打,4
話都打不,4
都打不進,5
打不進去,7
話都要響,1
都要響很,1
要響很久,1
響很久才,1
很久才會,2
久才會通,1
服電話進,1
電話進線,1
話進線後,1
進線後已,1
線後已經,1
後已經等,1
已經等超,1
經等超過,1
等超過十,1
客訴的電,2
訴的電話,3
的電話為,1
電話為什,1
話為什麼,1
麼要等那,1
的電話都,2
為什麼打,1
什麼打你,1
麼打你們,1
為什麼每,2
什麼每次,2
麼每次打,1
為什麼客,12
什麼客服,4
麼客服要,1
客服要等,1
服要等那,1
麼客服都,1
麼客服電,2
服電話這,1
電話這麼,1
話這麼不,1
這麼不好,1
麼不好打,1
電話都找,1
話都找不,1
都找不到,2
找不到人,1
為何你們,12
何你們客,2
要打通客,1
打通客服,2
通客服人,1
服人員的,3
人員的電,4
員的電話,4
的電話怎,1
電話怎麼,2
話怎麼這,1
要到哪裡,55
到哪裡反,1
哪裡反應,1
裡反應你,1
反應你們,1
應你們客,1
們客服電,6
要按什麼,1
按什麼鍵,1
什麼鍵可,1
麼鍵可以,1
鍵可以快,1
可以快速,3
以快速打,1
快速打通,1
速打通客,1
等了好久,2
了好久還,1
好久還是,1
久還是沒,1
還是沒人,1
是沒人接,1
沒人接電,2
人接電話,1
我在官網,22
在官網意,1
官網意見,1
網意見反,1
意見反映,1
見反映哪,1
反映哪時,1
映哪時會,1
哪時會回,1
時會回覆,1
我有上網,1
有上網寫,1
上網寫意,1
網寫意見,1
寫意見信,1
意見信大,1
見信大概,1
信大概需,1
大概需要,1
概需要幾,1
我有到你,1
有到你們,1
到你們官,2
你們官網,15
們官網留,1
官網留言,1
網留言但,1
留言但還,1
言但還沒,1
但還沒有,1
我昨天在,1
昨天在官,1
天在官網,1
在官網寫,1
官網寫信,1
網寫信反,1
寫信反映,1
信反映今,1
反映今天,1
映今天會,1
為什麼網,14
什麼網路,2
麼網路客,2
網路客服,19
路客服動,1
客服動作,1
服動作這,1
動作這麼,1
作這麼慢,1
路客服讓,1
客服讓我,1
服讓我等,1
讓我等這,1
我等這麼,1
路客服一,1
服一直未,1
一直未回,1
直未回覆,1
未回覆信,1
回覆信息,1
覆信息等,1
信息等待,1
路客服回,7
客服回信,5
服回信是,1
回信是否,1
信是否有,1
是否有制,1
否有制式,1
有制式時,1
制式時間,1
服回信時,2
回信時間,2
信時間有,1
時間有沒,2
間有沒有,2
有沒有規,7
沒有規定,7
服回信處,2
回信處理,2
信處理時,2
處理時間,4
理時間需,2
時間需要,1
間需要多,1
客服回涵,1
服回涵時,1
回涵時間,1
客服回覆,1
服回覆時,1
回覆時間,1
覆時間說,1
時間說明,16
路客服是,2
是不是都,6
不是都沒,1
是都沒有,1
都沒有處,1
沒有處理,1
有處理回,1
客服是否,1
服是否可,1
是否可處,1
否可處理,1
可處理較,1
處理較久,1
理較久一,1
較久一直,1
路客服處,4
客服處理,4
服處理回,1
